Age,Average,StDv,P3,P10,P25,P50,P75,P90,P97,P0.4 (Thinness 2),P4 (Thinness 1),P79 (Overweight),P97.5 (Obese)
0,13,0.91,11.37,11.87,12.39,12.99,13.61,14.19,14.78,10.7,11.5,13.7,14.9
91.25,16.67,1.42,14.13,14.81,15.54,16.42,17.36,18.29,19.27,13.4,14.3,17.6,19.4
182.5,17.52,1.62,15.16,15.86,16.62,17.56,18.61,19.65,20.81,14.3,15.2,18.7,20.9
273.75,17.92,1.47,15.43,16.09,16.83,17.75,18.8,19.86,21.06,14.7,15.6,19.1,21.3
365,18.12,1.71,15.45,16.08,16.8,17.69,18.7,19.75,20.94,14.7,15.6,18.9,21.1
456.25,17.66,1.49,15.41,16.03,16.73,17.6,18.59,19.62,20.79,14.7,15.5,18.8,20.9
547.5,17.85,1.57,15.32,15.93,16.62,17.47,18.46,19.47,20.62,14.6,15.5,18.7,20.8
638.75,17.31,1.28,15.11,15.7,16.37,17.22,18.18,19.18,20.33,14.4,15.2,18.4,20.5
730,16.71,1.02,14.64,15.23,15.89,16.74,17.74,18.82,20.11,14.1,14.9,18,20
913.125,16.59,1.2,14.33,14.91,15.56,16.4,17.37,18.41,19.64,13.6,14.4,17.4,19.6
1095.75,16.12,1.19,14.11,14.68,15.32,16.15,17.12,18.15,19.35,13.3,14.1,17.3,19.7
1278.375,16.46,1.83,13.95,14.52,15.16,15.99,16.97,18,19.21,13.3,14,17.3,19.8
1461,16.22,1.46,13.85,14.42,15.07,15.91,16.9,17.96,19.21,13.2,14,17.3,19.8
1643.625,16.16,1.29,13.79,14.37,15.03,15.89,16.91,18.01,19.33,13.2,14,17.3,19.9
1826.25,16.19,1.86,13.78,14.36,15.05,15.93,16.99,18.15,19.56,13.2,14,17.3,19.9
2008.875,16.26,1.98,13.79,14.39,15.1,16.01,17.12,18.35,19.88,13.2,14,17.4,20
2191.5,16.23,1.75,13.82,14.45,15.18,16.14,17.31,18.62,20.27,13.2,14,17.4,20.1
2374.125,16.37,1.81,13.88,14.53,15.29,16.3,17.54,18.94,20.73,13.1,14,17.6,20.5
2556.75,16.68,1.61,13.95,14.63,15.42,16.48,17.8,19.3,21.24,13.1,14,17.8,21
2739.375,16.97,2.19,14.04,14.74,15.58,16.69,18.09,19.69,21.78,13.2,14.1,18.1,21.6
2922,16.96,2.31,14.13,14.87,15.75,16.92,18.4,20.11,22.35,13.3,14.2,18.6,22.4
3104.625,17.69,2.54,14.24,15.01,15.93,17.17,18.72,20.54,22.93,13.4,14.4,19.1,23.5
3287.25,18.54,2.68,14.35,15.16,16.12,17.42,19.06,20.98,23.52,13.5,14.6,19.8,24.6
3469.875,18.77,2.63,14.48,15.32,16.32,17.69,19.41,21.42,24.1,13.6,14.8,20.2,25.3
3652.5,18.34,2.8,14.61,15.49,16.54,17.96,19.76,21.86,24.66,13.7,14.9,20.4,25.6
3835.125,19.08,3.49,14.76,15.67,16.76,18.23,20.11,22.3,25.2,13.8,14.9,20.7,26
4017.75,18.93,2.77,14.91,15.86,16.99,18.52,20.45,22.72,25.71,13.9,15.1,20.9,26.3
4200.375,19.04,2.75,15.08,16.06,17.22,18.8,20.8,23.12,26.19,14,15.3,21.2,26.7
4383,19.64,3.19,15.27,16.27,17.47,19.09,21.13,23.51,26.63,14.2,15.5,21.5,27
4565.625,19.71,2.56,15.47,16.49,17.72,19.37,21.46,23.88,27.03,14.4,15.7,21.8,27.3
4748.25,19.98,2.84,15.68,16.73,17.98,19.66,21.78,24.22,27.39,14.5,15.9,22.1,27.6
4930.875,20.32,3.09,15.91,16.98,18.25,19.95,22.09,24.54,27.71,14.7,16.1,22.4,27.9
5113.5,20.67,2.89,16.16,17.24,18.52,20.24,22.39,24.84,27.99,15,16.3,22.7,28.2
5296.125,21.12,3.38,16.41,17.51,18.8,20.53,22.68,25.12,28.24,15.2,16.6,23.1,28.5
5478.75,20.89,2.89,16.68,17.78,19.08,20.81,22.96,25.38,28.45,15.5,16.9,23.4,28.9
5661.375,22.33,3.09,16.96,18.07,19.37,21.1,23.23,25.63,28.64,15.8,17.3,23.8,29.2
5844,21.68,3.58,17.25,18.35,19.65,21.38,23.49,25.86,28.81,16.1,17.5,24.1,29.5
6026.625,22.13,3.17,17.53,18.64,19.94,21.65,23.75,26.08,28.97,16.3,17.8,24.3,29.6
6209.25,22.83,3.4,17.81,18.91,20.21,21.92,24,26.3,29.13,16.6,18,24.5,29.7
6391.875,22.13,2.44,18.07,19.18,20.48,22.18,24.25,26.52,29.3,16.8,18.2,24.7,29.8
6574.5,22.94,3.11,18.31,19.42,20.73,22.43,24.49,26.75,29.51,17,18.5,25,30
