Age,Average,StDv,P3,P10,P25,P50,P75,P90,P97,P1.6,P10,P89,P99
0,12.84,1.15,10.99,11.51,12.08,12.76,13.5,14.24,15.02,10.8,11.5,14.2,15.6
91.25,16.2,1.34,13.86,14.51,15.22,16.06,16.99,17.88,18.85,13.7,14.6,17.9,19.7
182.5,17.03,1.37,14.85,15.54,16.28,17.19,18.17,19.15,20.2,14.4,15.4,18.9,20.9
273.75,17.66,1.44,15.04,15.72,16.46,17.37,18.37,19.37,20.45,14.9,15.8,19.4,21.5
365,17.62,1.81,15,15.66,16.39,17.28,18.27,19.27,20.36,14.7,15.7,19.2,21.3
456.25,17.24,1.2,14.93,15.58,16.3,17.18,18.16,19.15,20.23,14.6,15.5,19,21.1
547.5,17.13,1.43,14.85,15.49,16.2,17.08,18.05,19.03,20.11,14.6,15.5,18.9,21
638.75,16.9,1.63,14.71,15.35,16.05,16.92,17.88,18.86,19.93,14.5,15.4,18.8,20.8
730,16.79,1.16,14.5,15.15,15.87,16.76,17.77,18.79,19.93,14.3,15.2,18.5,20.6
913.125,16.3,1.27,14.31,14.94,15.65,16.52,17.51,18.52,19.65,13.9,14.8,18.1,20.2
1095.75,16.28,1.11,14.14,14.76,15.46,16.32,17.3,18.31,19.43,13.6,14.4,17.9,20.2
1278.375,15.79,1.42,13.87,14.48,15.16,16.02,16.99,18,19.14,13.3,14.2,17.9,20.4
1461,15.85,1.39,13.67,14.28,14.96,15.82,16.81,17.84,19.02,13.2,14.1,17.9,20.6
1643.625,15.94,1.68,13.54,14.15,14.84,15.72,16.74,17.81,19.06,13.2,14.1,18,20.6
1826.25,16.12,1.6,13.45,14.08,14.79,15.7,16.76,17.89,19.21,13.2,14.1,18,20.7
2008.875,15.9,1.72,13.41,14.06,14.8,15.74,16.86,18.05,19.46,13.2,14.1,18,20.7
2191.5,15.75,1.85,13.41,14.08,14.85,15.84,17.02,18.28,19.79,13.1,14.1,18.1,20.9
2374.125,16.55,1.98,13.43,14.13,14.94,15.98,17.23,18.57,20.17,13.1,14.1,18.4,21.5
2556.75,16.51,1.98,13.47,14.21,15.06,16.16,17.48,18.9,20.6,13.2,14.3,18.9,22.4
2739.375,17.07,2.5,13.53,14.31,15.21,16.37,17.76,19.26,21.05,13.3,14.4,19.5,23.4
2922,17.48,2.45,13.61,14.43,15.37,16.6,18.06,19.63,21.52,13.4,14.6,20,24.1
3104.625,17.32,2.14,13.7,14.56,15.56,16.84,18.37,20.03,22,13.5,14.8,20.5,24.7
3287.25,17.91,2.18,13.81,14.71,15.75,17.1,18.7,20.42,22.47,13.6,14.9,20.9,25.2
3469.875,17.51,2.66,13.93,14.87,15.96,17.36,19.03,20.82,22.94,13.7,15.1,21.2,25.6
3652.5,18.67,2.36,14.07,15.05,16.17,17.63,19.36,21.21,23.39,13.8,15.3,21.6,26.1
3835.125,18.57,2.87,14.22,15.23,16.4,17.91,19.69,21.59,23.83,14,15.5,21.9,26.4
4017.75,19.23,2.94,14.39,15.43,16.63,18.18,20.01,21.96,24.25,14.1,15.6,22.1,26.6
4200.375,18.71,2.47,14.57,15.64,16.87,18.46,20.33,22.32,24.65,14.2,15.7,22.3,26.8
4383,18.91,2.45,14.77,15.86,17.12,18.73,20.63,22.66,25.02,14.3,15.9,22.5,27
4565.625,19.02,2.87,14.99,16.09,17.37,19,20.93,22.98,25.37,14.6,16.1,22.8,27.4
4748.25,19.96,2.79,15.22,16.34,17.62,19.27,21.22,23.29,25.7,15,16.5,23.2,27.9
4930.875,20.55,2.7,15.47,16.59,17.88,19.54,21.5,23.58,26.01,15.3,16.9,23.6,28.4
5113.5,20.15,2.69,15.73,16.85,18.14,19.8,21.76,23.85,26.3,15.6,17.2,23.9,28.8
5296.125,20.52,2.96,16,17.11,18.4,20.05,22.01,24.1,26.56,15.9,17.4,24.2,29.1
5478.75,21.29,3.16,16.27,17.37,18.65,20.3,22.25,24.34,26.81,16.2,17.8,24.4,29.4
5661.375,20.75,2.35,16.54,17.63,18.9,20.53,22.47,24.55,27.03,16.5,18,24.7,29.6
5844,22.06,2.59,16.81,17.88,19.13,20.74,22.67,24.75,27.23,16.8,18.2,24.8,29.8
6026.625,21.56,2.49,17.05,18.11,19.34,20.94,22.85,24.92,27.41,16.9,18.4,24.9,29.9
6209.25,21.32,2.88,17.27,18.31,19.53,21.1,23,25.07,27.56,16.9,18.4,25,29.9
6391.875,21.89,3.1,17.44,18.48,19.68,21.24,23.12,25.18,27.68,17,18.4,25,29.9
6574.5,21.45,2.5,17.56,18.59,19.78,21.34,23.21,25.27,27.77,17,18.5,25,30
